id,code,date,score,model_version
8,001475,2026-08-13,0.019941466820065354,2026-08-13|2026-08-13 02:33
9,001154,2026-08-13,0.021039186922750468,2026-08-13|2026-08-13 02:33
10,027189,2026-08-13,0.02293874658741908,2026-08-13|2026-08-13 02:33
11,001154,2026-08-14,0.08752341246337972,2026-08-13|2026-08-13 02:33
12,008640,2026-08-14,0.08574229703992292,2026-08-13|2026-08-13 02:33
13,257070,2026-08-17,0.0760783861804895,2026-08-13|2026-08-13 02:33
14,006502,2026-08-17,0.08574229703992292,2026-08-13|2026-08-13 02:33
15,001154,2026-08-17,0.08196694837378998,2026-08-13|2026-08-13 02:33
16,008640,2026-08-17,0.08574229703992292,2026-08-13|2026-08-13 02:33
17,005571,2026-08-18,0.08574229703992292,2026-08-13|2026-08-13 02:33
18,006502,2026-08-18,0.08574229703992292,2026-08-13|2026-08-13 02:33
19,257070,2026-08-18,0.08196694837378998,2026-08-13|2026-08-13 02:33
20,001154,2026-08-18,0.08196694837378998,2026-08-13|2026-08-13 02:33
21,008640,2026-08-18,0.08574229703992292,2026-08-13|2026-08-13 02:33
22,004044,2026-08-19,0.06216996933512624,2026-08-13|2026-08-13 02:33
23,257070,2026-08-19,0.08425693423850247,2026-08-13|2026-08-13 02:33
24,005571,2026-08-19,0.08031491020560598,2026-08-13|2026-08-13 02:33
25,006502,2026-08-19,0.08603804966195927,2026-08-13|2026-08-13 02:33
26,001154,2026-08-19,0.08425693423850247,2026-08-13|2026-08-13 02:33
27,008640,2026-08-19,0.08425693423850247,2026-08-13|2026-08-13 02:33
40,006923,2026-08-20,0.013971025951741179,2026-08-20|2026-08-20 12:41
41,004044,2026-08-20,0.0504466151991089,2026-08-20|2026-08-20 12:41
42,257070,2026-08-20,0.08145500574644518,2026-08-20|2026-08-20 12:41
43,005571,2026-08-20,0.0767671670283287,2026-08-20|2026-08-20 12:41
44,006502,2026-08-20,0.09417563863750297,2026-08-20|2026-08-20 12:41
45,001154,2026-08-20,0.07801824700971006,2026-08-20|2026-08-20 12:41
46,008640,2026-08-20,0.09703835273539929,2026-08-20|2026-08-20 12:41
47,001466,2026-08-21,0.08239600070221206,2026-08-20|2026-08-20 12:41
48,006923,2026-08-21,0.019857919228301848,2026-08-20|2026-08-20 12:41
49,004044,2026-08-21,0.07890902519701658,2026-08-20|2026-08-20 12:41
50,257070,2026-08-21,0.09787680007029707,2026-08-20|2026-08-20 12:41
51,005571,2026-08-21,0.08281597717959067,2026-08-20|2026-08-20 12:41
52,006502,2026-08-21,0.09787680007029707,2026-08-20|2026-08-20 12:41
53,001154,2026-08-21,0.0783874976748243,2026-08-20|2026-08-20 12:41
54,008640,2026-08-21,0.10188530309768484,2026-08-20|2026-08-20 12:41
55,019879,2026-08-24,0.054578021718131156,2026-08-20|2026-08-20 12:41
56,022320,2026-08-24,0.07750687430531017,2026-08-20|2026-08-20 12:41
57,001466,2026-08-24,0.07530619742460931,2026-08-20|2026-08-20 12:41
58,006923,2026-08-24,0.017951690394175043,2026-08-20|2026-08-20 12:41
59,004044,2026-08-24,0.05522640760562533,2026-08-20|2026-08-20 12:41
60,257070,2026-08-24,0.08145686111560248,2026-08-20|2026-08-20 12:41
61,005571,2026-08-24,0.09417563863750297,2026-08-20|2026-08-20 12:41
62,006502,2026-08-24,0.08402637091048999,2026-08-20|2026-08-20 12:41
63,001154,2026-08-24,0.08613138573736809,2026-08-20|2026-08-20 12:41
64,008640,2026-08-24,0.10227976471329374,2026-08-20|2026-08-20 12:41
65,014913,2026-08-25,0.03362000146521659,2026-08-20|2026-08-20 12:41
66,007306,2026-08-25,0.007815869745723581,2026-08-20|2026-08-20 12:41
67,019879,2026-08-25,0.053592979128509244,2026-08-20|2026-08-20 12:41
68,022320,2026-08-25,0.08117192422484895,2026-08-20|2026-08-20 12:41
69,001466,2026-08-25,0.08117192422484895,2026-08-20|2026-08-20 12:41
70,006923,2026-08-25,0.026237198575104804,2026-08-20|2026-08-20 12:41
71,004044,2026-08-25,0.07768494871965345,2026-08-20|2026-08-20 12:41
72,257070,2026-08-25,0.10061226938263222,2026-08-20|2026-08-20 12:41
73,005571,2026-08-25,0.10061226938263222,2026-08-20|2026-08-20 12:41
74,006502,2026-08-25,0.10061226938263222,2026-08-20|2026-08-20 12:41
75,001154,2026-08-25,0.0854553028499073,2026-08-20|2026-08-20 12:41
76,008640,2026-08-25,0.10061226938263222,2026-08-20|2026-08-20 12:41
77,017787,2026-08-26,0.03892179176739599,2026-08-20|2026-08-20 12:41
78,022320,2026-08-26,0.06254522746366824,2026-08-20|2026-08-20 12:41
79,014913,2026-08-26,0.02726932195901542,2026-08-20|2026-08-20 12:41
80,007306,2026-08-26,0.010981416830240176,2026-08-20|2026-08-20 12:41
81,019879,2026-08-26,0.04799991827870585,2026-08-20|2026-08-20 12:41
82,001466,2026-08-26,0.04771599371023953,2026-08-20|2026-08-20 12:41
83,006923,2026-08-26,0.012700320668738864,2026-08-20|2026-08-20 12:41
84,004044,2026-08-26,0.044229018205044046,2026-08-20|2026-08-20 12:41
85,257070,2026-08-26,0.07830434247850242,2026-08-20|2026-08-20 12:41
86,005571,2026-08-26,0.07092929476067042,2026-08-20|2026-08-20 12:41
87,006502,2026-08-26,0.07830434247850242,2026-08-20|2026-08-20 12:41
88,001154,2026-08-26,0.051512378825988116,2026-08-20|2026-08-20 12:41
89,008640,2026-08-26,0.0703369317153889,2026-08-20|2026-08-20 12:41
90,011845,2026-08-27,0.018730383474877956,2026-08-27|2026-08-27 13:46
91,022320,2026-08-27,0.04515629245881388,2026-08-27|2026-08-27 13:46
92,017787,2026-08-27,0.012910552834926795,2026-08-27|2026-08-27 13:46
93,014913,2026-08-27,0.005106178704929197,2026-08-27|2026-08-27 13:46
94,007306,2026-08-27,0.006038972807110107,2026-08-27|2026-08-27 13:46
95,019879,2026-08-27,0.047343714105730954,2026-08-27|2026-08-27 13:46
96,001466,2026-08-27,0.05210150652895614,2026-08-27|2026-08-27 13:46
97,006923,2026-08-27,0.008162136311982865,2026-08-27|2026-08-27 13:46
98,001154,2026-08-27,0.05045487670102759,2026-08-27|2026-08-27 13:46
99,017787,2026-08-28,0.012910552834926795,2026-08-27|2026-08-27 13:46
100,008861,2026-08-28,0.015474229947125457,2026-08-27|2026-08-27 13:46
101,011845,2026-08-28,0.025059160776296018,2026-08-27|2026-08-27 13:46
102,022320,2026-08-28,0.04629129097852882,2026-08-27|2026-08-27 13:46
103,014913,2026-08-28,0.005106178704929197,2026-08-27|2026-08-27 13:46
104,007306,2026-08-28,0.005391020627036102,2026-08-27|2026-08-27 13:46
105,019879,2026-08-28,0.04335827844206193,2026-08-27|2026-08-27 13:46
106,001466,2026-08-28,0.05210150652895614,2026-08-27|2026-08-27 13:46
107,006923,2026-08-28,0.0065824877274732905,2026-08-27|2026-08-27 13:46
108,001154,2026-08-28,0.0475571101277368,2026-08-27|2026-08-27 13:46
109,017787,2026-08-31,0.012910552834926795,2026-08-27|2026-08-27 13:46
110,011184,2026-08-31,0.07854129162940122,2026-08-27|2026-08-27 13:46
111,008861,2026-08-31,0.014475792912036258,2026-08-27|2026-08-27 13:46
112,011845,2026-08-31,0.02940152744903643,2026-08-27|2026-08-27 13:46
113,022320,2026-08-31,0.04346198286437722,2026-08-27|2026-08-27 13:46
114,014913,2026-08-31,0.0018343992837121493,2026-08-27|2026-08-27 13:46
115,007306,2026-08-31,0.005532661988398083,2026-08-27|2026-08-27 13:46
116,019879,2026-08-31,0.020383792511099334,2026-08-27|2026-08-27 13:46
117,001466,2026-08-31,0.051408658951104975,2026-08-27|2026-08-27 13:46
118,006923,2026-08-31,0.006855330413750251,2026-08-27|2026-08-27 13:46
119,001154,2026-08-31,0.0475571101277368,2026-08-27|2026-08-27 13:46
120,026516,2026-09-01,0.052218342424837166,2026-08-27|2026-08-27 13:46
121,006644,2026-09-01,0.052729142877201825,2026-08-27|2026-08-27 13:46
122,017787,2026-09-01,0.01137929176735026,2026-08-27|2026-08-27 13:46
123,011184,2026-09-01,0.052729142877201825,2026-08-27|2026-08-27 13:46
124,008861,2026-09-01,0.002396614289556968,2026-08-27|2026-08-27 13:46
125,011845,2026-09-01,0.01673103903168857,2026-08-27|2026-08-27 13:46
126,022320,2026-09-01,0.02774520883505197,2026-08-27|2026-08-27 13:46
127,014913,2026-09-01,-0.0002877513241661255,2026-08-27|2026-08-27 13:46
128,007306,2026-09-01,-0.00017234227030910352,2026-08-27|2026-08-27 13:46
129,019879,2026-09-01,0.011239332103093844,2026-08-27|2026-08-27 13:46
130,001466,2026-09-01,0.05287932251971701,2026-08-27|2026-08-27 13:46
131,006923,2026-09-01,0.0033116138375986507,2026-08-27|2026-08-27 13:46
132,001154,2026-09-01,0.037174362871012404,2026-08-27|2026-08-27 13:46
133,025415,2026-09-02,0.05558687058365782,2026-08-27|2026-08-27 13:46
134,017787,2026-09-02,0.007613011232288681,2026-08-27|2026-08-27 13:46
135,011184,2026-09-02,0.049501394204296355,2026-08-27|2026-08-27 13:46
136,008861,2026-09-02,0.007366544033626136,2026-08-27|2026-08-27 13:46
137,011845,2026-09-02,0.008753288526815582,2026-08-27|2026-08-27 13:46
138,022320,2026-09-02,-0.003911259438406817,2026-08-27|2026-08-27 13:46
139,014913,2026-09-02,-0.008157557775802663,2026-08-27|2026-08-27 13:46
140,007306,2026-09-02,-0.0015243498024222052,2026-08-27|2026-08-27 13:46
141,019879,2026-09-02,-0.0025009904917644835,2026-08-27|2026-08-27 13:46
142,001466,2026-09-02,0.032910631177023135,2026-08-27|2026-08-27 13:46
143,006923,2026-09-02,0.003401287854531551,2026-08-27|2026-08-27 13:46
144,001154,2026-09-02,0.03556804422605351,2026-08-27|2026-08-27 13:46
145,003333,2026-09-03,-2.6937326026867365e-05,2026-09-03|2026-09-03 13:46
146,009999,2026-09-03,-0.0036517042004244812,2026-09-03|2026-09-03 13:46
147,025415,2026-09-03,0.04372369936712174,2026-09-03|2026-09-03 13:46
148,017787,2026-09-03,-0.008282115617040347,2026-09-03|2026-09-03 13:46
149,011184,2026-09-03,0.0469098399365878,2026-09-03|2026-09-03 13:46
150,008861,2026-09-03,0.0009722083399301309,2026-09-03|2026-09-03 13:46
151,011845,2026-09-03,0.002178749716600123,2026-09-03|2026-09-03 13:46
152,022320,2026-09-03,0.0057544962548579165,2026-09-03|2026-09-03 13:46
153,014913,2026-09-03,-0.011367919693591265,2026-09-03|2026-09-03 13:46
154,007306,2026-09-03,-0.0052594249071233265,2026-09-03|2026-09-03 13:46
155,019879,2026-09-03,0.011442711544704293,2026-09-03|2026-09-03 13:46
156,001466,2026-09-03,0.032910631177023135,2026-09-03|2026-09-03 13:46
157,006923,2026-09-03,-0.00283616984064726,2026-09-03|2026-09-03 13:46
158,001154,2026-09-03,0.03007792071074953,2026-09-03|2026-09-03 13:46
159,009999,2026-09-04,0.002239238268719016,2026-09-03|2026-09-03 13:46
160,003333,2026-09-04,-0.0026709491469338914,2026-09-03|2026-09-03 13:46
161,025415,2026-09-04,0.04297543435888533,2026-09-03|2026-09-03 13:46
162,017787,2026-09-04,0.0037811980698974857,2026-09-03|2026-09-03 13:46
163,011184,2026-09-04,0.04390896643414176,2026-09-03|2026-09-03 13:46
164,008861,2026-09-04,0.008281984907451903,2026-09-03|2026-09-03 13:46
165,011845,2026-09-04,0.003664427844912179,2026-09-03|2026-09-03 13:46
166,022320,2026-09-04,0.020546424753840553,2026-09-03|2026-09-03 13:46
167,014913,2026-09-04,0.0029889289510993816,2026-09-03|2026-09-03 13:46
168,007306,2026-09-04,0.0013824846523366005,2026-09-03|2026-09-03 13:46
169,019879,2026-09-04,0.01387959270892497,2026-09-03|2026-09-03 13:46
170,001466,2026-09-04,0.03145677648962847,2026-09-03|2026-09-03 13:46
171,006923,2026-09-04,0.0013690629782670304,2026-09-03|2026-09-03 13:46
172,001154,2026-09-04,0.037395531913343306,2026-09-03|2026-09-03 13:46
