fund_code,trade_date,industry_1,weight_1,industry_2,weight_2,r_squared
009999,2026-09-03,航运港口,21.83014762690595,石油石化,17.233811379011286,0.9126960960669354
003333,2026-09-03,中药Ⅱ,13.386900321925499,食品饮料,8.646151487953551,0.8950306001834378
025415,2026-09-03,电子化学品Ⅱ,28.85882614160242,仪器仪表,19.029965816675816,0.9179831447110538
017787,2026-09-03,化工原料,22.55714232605972,石油石化,20.765460901095047,0.6462568572026904
011184,2026-09-03,军工电子Ⅱ,20.600682259159502,元件,14.774396859793427,0.9062393223311395
008861,2026-09-03,电子,17.598704017819085,电力设备,13.447568792707317,0.8157669138458374
011845,2026-09-03,有色金属,12.421781518761657,元件,10.877164313316046,0.7444110446042068
022320,2026-09-03,有色金属,61.08922428518009,工业金属,28.426114112544965,0.9002138050615044
014913,2026-09-03,有色金属,23.477747736878563,燃气Ⅱ,22.12373655803833,0.7779685112835417
007306,2026-09-03,炼化及贸易,14.584121270462475,石油石化,12.438845568399831,0.779619861983875
019879,2026-09-03,有色金属,49.26932169519762,航运港口,12.750493800961987,0.8828509546451031
001466,2026-09-03,有色金属,92.82599962608457,军工电子Ⅱ,4.075338110527514,0.8171555829869216
001154,2026-09-03,电子,22.843451672112323,计算机设备,18.73246152773566,0.7490662163714611
025415,2026-09-02,电子化学品Ⅱ,29.046649235712312,仪器仪表,18.683968437751762,0.9185107136335855
017787,2026-08-31,石油石化,24.113813341573913,化工原料,19.70911995970401,0.6504191149007815
011184,2026-08-31,军工电子Ⅱ,27.852463819730573,元件,16.104223583998802,0.9170993971080402
008861,2026-08-28,电子,18.38637929769365,电力设备,13.617629682513584,0.8107814595947311
011845,2026-08-27,化学纤维,14.95492710738918,煤炭开采,12.756379900200146,0.7433001601395468
022320,2026-08-27,有色金属,61.211788962563276,工业金属,27.26082879546492,0.9113270868185319
014913,2026-08-25,燃气Ⅱ,19.486644669665743,有色金属,17.454566291044276,0.7658362568220134
007306,2026-08-25,化工原料,15.861841900532397,炼化及贸易,14.937113406739641,0.7751761817825112
019879,2026-08-24,有色金属,35.708844329259655,化工原料,10.484510210163123,0.8567347198166451
001466,2026-08-21,有色金属,90.82932757250236,军工电子Ⅱ,5.959606702600061,0.8512852038577174
001154,2026-08-14,电子,44.56275065122673,元件,16.365520303887962,0.7848077859981459
009999,2026-09-11,航运港口,30.559879188561055,石油石化,23.855393869260798,0.8766193534199717
003333,2026-09-11,交通运输,15.257472090451987,纺织服饰,13.936160006858758,0.8770643007712119
011184,2026-09-11,军工电子Ⅱ,22.40721767948871,光学光电子,14.972272281827607,0.9177509411491626
008861,2026-09-11,电子,18.70021668358471,航运港口,13.865707365697096,0.796577054954501
011845,2026-09-11,有色金属,16.141525200190234,燃气Ⅱ,14.847298372694558,0.7842224727561224
014913,2026-09-11,燃气Ⅱ,27.20950934547488,有色金属,24.79321771106659,0.776789182576283
007306,2026-09-11,石油石化,14.291130999880473,化工原料,14.05192185141535,0.7818107106218193
001466,2026-09-11,有色金属,91.74135819595688,军工电子Ⅱ,6.068810738625065,0.8022251000250573
001154,2026-09-11,医疗服务,19.25833950889532,计算机设备,17.39472447984358,0.7543635321965012
