date,regime,investable,reasons,top_abs_pct,top_fund_abs_pct,stop_fund_abs_pct,top_alpha_pct,ic,baseline_abs_pct,mom20_pct,pctile,n_funds
2023-08-23,BEAR,False,指数20日动量-5.4%<-3.0%,-0.44,"-0.31,-0.23,-0.69,-0.54,-0.43","0.17,0.41,0.26,0.25,0.17",4.497,0.1831,-3.463,-5.38,36.8,596
2023-09-20,BEAR,True,,-1.413,"-4.74,-3.98,0.50,0.75,0.41","7.56,-5.26,6.72,0.25,0.14",2.478,-0.2534,-1.188,0.24,41.2,598
2023-10-26,BEAR,False,指数20日动量-5.2%<-3.0%,0.582,"0.68,0.29,0.06,1.39,0.48","0.20,0.07,-0.04,0.30,0.15",5.797,-0.0596,-2.078,-5.17,42.7,599
2023-11-23,BEAR,True,,-11.742,"-8.85,-7.81,-6.03,-15.65,-20.37","-1.38,-2.73,-0.25,-0.59,-2.65",-3.55,-0.0988,-5.997,1.35,48.0,598
2023-12-21,BEAR,False,指数20日动量-6.5%<-3.0%,1.238,"1.84,1.11,0.87,1.12,1.25","0.26,0.51,0.18,0.10,0.09",-2.439,-0.1995,-2.624,-6.48,26.4,600
2024-01-19,BEAR,True,,1.165,"1.65,1.12,1.01,1.10,0.94","0.12,0.16,0.12,0.16,0.08",-6.664,-0.0695,4.463,-1.83,17.9,599
2024-02-26,NEUTRAL,True,,0.114,"-2.97,-1.59,3.73,4.10,-2.70","-14.19,-3.67,-2.04,-10.07,4.21",-1.863,-0.0893,2.889,5.61,26.1,599
2024-03-25,NEUTRAL,True,,4.535,"6.54,7.25,6.49,1.34,1.07","2.91,2.89,2.92,0.46,0.18",1.416,0.3114,1.36,2.1,46.0,599
2024-04-24,NEUTRAL,True,,2.887,"3.25,6.57,6.21,0.32,-1.91","6.10,-4.50,5.90,1.92,-1.35",4.696,0.1204,-4.498,-0.12,37.5,597
2024-05-27,NEUTRAL,True,,1.42,"2.62,1.76,6.09,-3.92,0.55","12.96,4.46,3.15,-2.92,0.18",6.806,0.1499,-1.642,3.24,55.7,599
2024-06-25,BEAR,False,指数20日动量-4.9%<-3.0%,0.349,"-1.35,-2.01,1.25,1.26,2.58","-0.04,4.11,0.26,0.25,-23.45",3.97,0.3939,-2.701,-4.89,52.9,600
2024-07-23,BEAR,True,,-2.487,"-0.73,-6.70,-6.66,0.73,0.94","1.93,5.81,5.70,0.12,-6.31",4.602,0.3167,-2.382,-0.52,53.3,599
2024-08-20,BEAR,False,指数20日动量-3.1%<-3.0%,4.268,"7.17,7.09,7.19,-1.08,0.97","5.73,5.34,5.32,2.07,1.55",-13.619,-0.4137,16.091,-3.12,29.6,600
